"""Price"",""State_exam"",""Budget_places"",""Average_salary"",""Doctors_percentage"",""Average_income_region"",""Number_of_students"""
"73175,""66"",""1316"",""67000"",""6.7716535433071"",""25814"",""10046"""
"67500,""61"",""1103"",""78000"",""10"",""27657"",""7779"""
"56700,""70.5"",""102"",""36000"",""17.72"",""59898"",""1538"""
"74000,""60"",""1336"",""50000"",""11.221122112211"",""18533"",""7846"""
"67040,""58.49"",""1043"",""60000"",""10.282021151586"",""17878"",""16528"""
"114000,"""",""30"",""103000"",""28.33"",""59898"",""2716"""
"396000,""64.6"",""210"","""",""10.73"",""59898"",""1008"""
"50000,""34.7"",""1636"","""",""23.809523809524"",""59898"",""542"""
"264340,""65.6"",""143"",""55000"",""6.58"",""59898"",""8772"""
"26600,""65.3"",""127"",""74200"",""5.38"",""59898"",""802"""
"24400,""60"",""60"",""52500"",""11.64"",""59898"",""2273"""
"221042,""57.2"",""49"",""43600"",""19.92"",""59898"",""974"""
"187200,""64.3"",""1780"",""73000"",""12.606782293554"",""59898"",""15819"""
"120000,""53.7"",""625"",""80000"",""29.558791567051"",""59898"",""40000"""
"55550,"""",""6"",""50900"",""6.91"",""59898"",""4309"""
"46000,""40.7"",""50"",""97000"",""26.95"",""59898"",""2000"""
"27930,""37.3"",""2973"","""",""18"",""59898"",""21500"""
"37800,""38.3"",""40"",""48200"",""14.22"",""59898"",""3624"""
"176000,""83.7"",""20"",""110000"",""14.55"",""59898"",""3319"""
"47000,"""",""12"",""95300"",""6.27"",""59898"",""13029"""
"79000,""66"",""390"",""43000"",""5.1111111111111"",""36875"",""6000"""
"90000,""67"",""909"",""60000"","""",""59898"","""""
"39800,""38.7"",""1810"",""66000"",""23.887434554974"",""24860"",""17000"""
"39200,""53"",""1504"",""96000"",""16.514227642276"",""24860"",""18196"""
"240000,""72"",""1963"",""80000"",""17.948717948718"",""59898"",""29407"""
"69000,""49.7"",""1691"",""48000"",""14.67958271237"",""59898"",""12853"""
"57800,""76"",""358"",""88000"",""15.656565656566"",""59898"",""10513"""
"260000,""57"",""1378"",""70000"",""13.953488372093"",""39948"",""16500"""
"51500,""56.06"",""717"",""51000"",""12.222222222222"",""30837"",""7787"""
"78000,""65.3"",""944"",""53000"",""9.9873577749684"",""30837"",""22689"""
"98000,""83.5"",""178"",""61000"",""5.6"",""30837"",""4286"""
"84056,""69.59"",""760"",""52000"",""10.772357723577"",""30837"",""10500"""
"24000,""39.3"",""1265"",""87000"",""10.7"",""30837"",""15136"""
"40000,""36"",""1346"",""67000"",""15.007898894155"",""30837"",""38076"""
"25000,""54.62"",""136"","""",""6.5830721003135"",""26286"",""4980"""
"50500,""40.7"",""1593"",""80000"",""15.885714285714"",""24186"",""14000"""
"80000,""58.7"",""845"",""62500"",""10.19"",""24186"",""24189"""
"71700,""65.3"",""151"",""59000"",""17.59"",""25858"","""""
"27000,""41"",""914"",""46500"",""8.51"",""25858"",""13389"""
"70000,""57.3"",""20"",""39000"",""5.24"",""59898"",""864"""
"39900,""41.7"",""1252"",""77000"",""12.330827067669"",""32053"",""12370"""
"45000,""41"",""1743"",""52500"",""2.13"",""32053"",""20000"""
"79000,""66"",""1749"",""52750"",""10.63321385902"",""25734"",""10361"""
"65300,""59.29"",""2316"",""52000"",""12"",""18533"",""9142"""
"20000,""70"",""145"","""",""9.87"",""59898"",""7400"""
"97500,""65.5"",""63"",""89000"",""21.89"",""59898"",""368"""
"160000,""85"",""998"",""70000"",""25"",""59898"",""17412"""
"70000,""70"",""38"",""83000"",""19.32"",""59898"",""1494"""
"22500,""41"",""623"",""37890"",""20.07"",""59898"",""12000"""
"54600,""58.3"",""605"",""70000"",""11.666666666667"",""59898"",""10000"""
"125000,""69"",""81"",""70000"",""18.29"",""59898"",""16341"""
"60000,""37.2"",""254"",""45000"",""11.246200607903"",""59898"",""28290"""
"61000,""30.5"",""102"",""45000"",""13.82"",""59898"",""7187"""
"39714,""44"",""132"",""48000"",""23.38"",""59898"",""18000"""
"59000,""48.7"",""723"",""60000"",""15.345784957092"",""59898"",""16047"""
"118000,""69"",""200"",""89000"",""10.89"",""59898"",""6200"""
"105000,""64"",""878"",""65000"",""25.227750525578"",""59898"",""16401"""
"50000,""70"",""76"",""51500"",""18.68"",""24219"",""15098"""
"35000,""42.3"",""1209"",""70000"",""13.8"",""27732"",""16976"""
"50000,""65.3"",""693"",""56500"",""21.54"",""27732"",""9815"""
"45000,""44"",""1424"",""75000"",""10.42"",""27732"",""16998"""
"45000,""45"",""418"",""51500"",""13.94"",""27732"",""11000"""
"185000,""78.7"",""2334"",""65000"",""23.52"",""39948"",""29860"""
"52000,""68"",""1446"",""56000"",""18.181818181818"",""39948"",""7377"""
"58000,""59"",""2351"",""62000"",""24.230769230769"",""39948"",""31772"""
"34200,""39"",""1001"",""64000"",""13.12"",""20070"",""17080"""
"36100,""58.3"",""247"",""78000"",""14.36"",""20070"",""4861"""
"16600,""33"",""2310"",""53000"",""15.94"",""20070"",""22443"""
"94490,""63"",""2169"",""70000"",""8.82"",""32617"","""""
"90000,""74"",""373"",""65000"",""15.44"",""32617"","""""
"60000,""27"",""2133"",""54000"",""9.6931659693166"",""37847"",""18667"""
"37400,""36.7"",""866"",""77000"",""11.740041928721"",""27123"","""""
"36700,""64.3"",""245"",""67000"",""20.9"",""24860"",""5000"""
"27200,""36"",""3010"",""77000"",""1.1014492753623"",""27123"",""31573"""
"27930,""37.3"",""2973"",""67000"",""11.658615136876"",""27123"",""33046"""
"82000,""66"",""408"",""62000"",""14"",""31373"",""5137"""
"23000,""37"",""695"",""39000"",""21.51"",""22971"",""13500"""
"64400,""67.666666666667"",""1259"",""59000"",""9.0379008746356"",""33328"",""7500"""
"58000,"""",""228"",""50000"",""18.421052631579"",""59898"",""4800"""
"40000,""44"",""470"",""40500"",""13.95"",""24860"",""3365"""
"32000,""49.7"",""955"",""48000"",""12.83"",""24860"",""19029"""
"60000,""72"",""465"",""75000"",""21.89"",""41625"",""3589"""
"41890,""44.3"",""966"",""89000"",""9.92"",""41625"",""24667"""
"41650,""39.3"",""1006"",""69000"",""14.851485148515"",""41625"",""19449"""
"22000,""36.7"",""875"",""93000"",""10.5"",""24584"",""15540"""
"39980,""43.7"",""472"",""52500"",""13.9"",""34820"",""13600"""
"55120,""53"",""245"",""68000"",""12.47"",""34820"",""12789"""
"43360,""37"",""3907"",""70000"",""10.87"",""34820"",""57000"""
"80600,""64.86"",""2279"",""70000"",""12.6"",""27744"","""""
"20000,""37.3"",""1018"",""90000"",""13.8"",""27744"","""""
"32000,""41.7"",""102"","""",""0"",""59898"","""""
"73800,""58"",""934"",""65000"",""5.89"",""25602"","""""
"69900,""68"",""845"",""83500"",""10.666666666667"",""25814"",""11247"""
"19152,""34"",""1158"",""40000"",""10.36"",""26546"",""13592"""
"23000,""31.03"",""2203"","""",""13.48"",""24584"",""35000"""
"25000,""50.3"",""3311"",""57000"",""15.09"",""26546"",""33125"""
